 ,Area,Mean,Min,Max,Angle,Length
1,0.002,22.167,6.000,75.667,-78.341,0.381
2,0.002,62.946,19.396,98.785,-74.962,0.411
3,0.003,83.157,21.000,118.878,-83.737,0.488
4,0.002,95.479,10.091,151.465,-81.254,0.389
