 ,Area,Mean,Min,Max,Angle,Length
1,0.002,50.188,2.000,106.684,-83.991,0.338
2,0.002,91.669,10.274,160.821,-85.732,0.396
3,0.003,58.043,14.000,123.667,-90.699,0.484
4,0.002,109.063,6.137,163.631,-88.977,0.330
