 ,Area,Mean,Min,Max,Angle,Length
1,0.001,46.788,0.667,97.707,-85.815,0.243
2,0.002,54.549,9.261,104.362,-83.797,0.273
3,0.002,57.512,19.400,166.333,-88.958,0.325
4,0.001,98.444,8.789,206.105,-82.504,0.226
