 ,Area,Mean,Min,Max,Angle,Length
1,0.007,118.733,95.237,186.603,-84.523,0.687
2,0.007,93.284,77.333,110.333,3.764,0.714
3,0.005,104.916,99.667,123.333,-108.138,0.572
4,5.272E-4,161.611,159.333,164.000,0.000,0.047
5,0.009,109.722,80.864,185.503,-86.496,0.920
6,0.010,93.836,84.333,106.667,-0.979,1.097
7,0.009,103.121,92.000,118.333,-92.203,0.976
8,0.009,99.395,88.048,112.531,2.921,0.920
9,0.005,100.833,92.000,122.000,-90.000,0.497
10,0.010,92.547,78.667,110.009,-0.503,1.069
11,0.007,103.597,69.667,125.000,-93.447,0.779
12,0.009,94.830,80.333,152.000,0.000,0.928
13,0.006,91.294,83.238,103.667,-80.838,0.589
14,9.666E-4,102.648,93.200,119.000,168.690,0.096
15,0.011,101.856,89.530,126.667,-86.396,1.193
16,0.005,105.167,92.000,128.333,0.000,0.497
17,0.009,111.723,107.386,115.957,-79.487,0.925
18,0.011,104.432,94.669,140.633,4.022,1.203
19,0.008,101.049,93.954,144.000,-84.531,0.885
20,0.010,120.844,80.716,173.333,-2.121,1.013
21,0.011,111.113,101.428,174.000,-96.234,1.122
22,0.015,112.859,92.208,187.222,-0.347,1.547
23,0.010,108.433,92.667,169.903,-86.878,1.033
24,0.009,109.696,101.210,141.305,-0.546,0.984
25,0.007,113.986,103.293,147.667,-84.428,0.772
26,0.007,103.923,97.788,114.216,0.774,0.694
27,0.008,111.534,86.511,157.400,-87.455,0.844
28,7.030E-4,131.583,119.333,134.857,-164.055,0.068
29,0.007,110.370,102.987,118.667,-87.026,0.723
30,0.007,106.762,88.667,159.000,0.000,0.741
31,0.008,102.118,73.000,143.791,-91.998,0.807
32,6.151E-4,134.984,118.000,154.667,9.462,0.057
33,0.004,109.996,102.333,145.375,-93.576,0.451
34,3.515E-4,79.667,78.333,81.000,-45.000,0.027
35,0.007,91.629,68.368,165.667,-87.769,0.722
36,8.787E-4,130.556,111.778,145.000,-18.435,0.089
37,0.033,108.118,80.759,169.447,-92.437,3.528
38,0.026,118.640,89.233,210.221,-0.581,2.775
39,0.042,114.497,83.189,203.278,-95.237,4.518
40,0.027,110.403,82.164,172.549,-0.184,2.915
