 ,Area,Mean,Min,Max,Angle,Length
1,0.001,62.607,15.377,181.667,-85.486,0.226
2,0.001,94.363,36.303,153.303,-84.806,0.197
3,0.001,66.411,30.221,133.667,-78.111,0.230
4,8.097E-4,58.812,14.000,93.000,-90.000,0.131
