 ,Area,Mean,Min,Max,Angle,Length
1,5.659E-4,119.829,97.067,162.133,-78.690,0.091
2,7.428E-4,107.276,101.800,123.000,5.711,0.120
3,0.001,116.486,109.762,135.000,-85.914,0.167
4,2.122E-4,154.478,145.067,171.000,-21.801,0.032
5,0.003,106.976,90.593,140.503,-80.665,0.440
6,0.002,102.288,95.833,157.667,2.862,0.357
7,0.002,121.077,108.917,176.750,-82.875,0.336
8,0.002,114.642,106.418,181.667,5.599,0.305
9,0.003,107.088,41.468,120.907,-96.411,0.533
10,0.002,106.744,99.333,143.000,0.000,0.404
11,0.001,104.745,98.141,123.879,-91.736,0.196
12,0.002,91.358,82.667,103.000,1.023,0.333
13,6.366E-4,105.615,102.118,115.000,-86.634,0.101
14,1.768E-4,186.133,156.667,214.667,0.000,0.024
15,0.003,110.333,100.908,121.429,-76.715,0.440
16,8.489E-4,118.777,109.986,145.029,-2.490,0.137
17,0.002,112.869,107.356,126.667,-85.156,0.352
18,0.003,112.411,107.667,124.667,6.934,0.443
19,0.001,108.995,102.333,152.000,-82.694,0.234
20,0.002,124.405,94.660,164.667,1.081,0.315
21,0.002,106.357,102.833,113.534,-75.530,0.381
22,0.004,127.959,115.444,154.745,8.059,0.679
23,0.002,121.831,117.074,129.397,-88.182,0.375
24,0.002,115.520,107.093,128.436,14.676,0.258
25,8.135E-4,113.921,105.000,162.000,-79.695,0.133
26,9.550E-4,110.113,101.667,123.333,2.203,0.155
27,0.002,118.910,111.264,133.000,-81.703,0.288
28,2.122E-4,137.167,133.333,141.000,0.000,0.030
29,0.001,115.542,102.667,129.333,-85.101,0.209
30,0.001,129.057,111.117,159.459,3.094,0.220
31,0.001,117.058,112.719,121.084,-102.724,0.189
32,1.415E-4,149.417,148.333,151.333,0.000,0.018
33,3.537E-4,129.933,118.667,140.333,-90.000,0.054
34,2.476E-4,139.413,131.222,152.333,-9.462,0.036
35,6.013E-4,108.130,95.521,144.667,-86.424,0.095
36,1.415E-4,143.333,121.333,164.000,0.000,0.018
37,0.011,112.112,96.223,171.997,-96.320,1.837
38,0.008,115.054,83.726,157.055,-0.803,1.273
39,0.014,117.087,93.705,219.542,87.330,2.298
40,0.009,113.037,102.000,150.480,1.115,1.529
